ID,Transcription
ID_UIBRQA,They and others had been trying to get to Florida by boat.
ID_TARNKY,Dr Anthony told Caribbean Report today he was moving quickly to get his government up and running and was aware of an appeal for debt relief by the St Lucia Banana Growers Association.
ID_OMCZVQ,The decision to postpone the Haitian elections creates even more political uncertainty in that unhappy country.
ID_RUUBMY,"A court in Amsterdam had ordered the public prosecutor to investigate Desi Bouters' alleged role in the December murders on the basis of the UN Treaty Against Torture, but the Netherlands signed that treaty in nineteen eighty-nine, too late for it to be applied to the nineteen eighty-two murders, according to the Supreme Court."
ID_RPIUJN,"sort of covered by the monopoly agreement, so we can't actually get in there to set up."
ID_UDAKUI,"And Suriname's military strongman, Desi Bautiste, resigns as commander of the army."
ID_ADAQLQ,"But first of all, we'd like to hear from Dr. Ivor Heath, the political leader of the opposition United National Democratic Party in Antigua."
ID_GTWKHW,"That economic message was one the host, Prime Minister Tony Blair, was keen to emphasise."
ID_TJEDXP,"The United States has finalized guidelines to enforce a key part of that extraterritorial legislation, a worrying move for foreign companies doing trade with Cuba."
ID_ACNNDU,"According to the Hurricane Center, islands right across the chain are bracing themselves."
ID_RUFYKW,"With the election date about to be announced, an assessment that Antigua's governing party will retain power and France recognising slavery as a crime against humanity."
ID_PECVRK,This is much to the consternation of American author and historian Hans Koning.
ID_KQSKEJ,Students at Guyana's university returned to their classrooms this morning following the suspension of classes last week.
ID_ROLFKO,"In Guyana, there was heavy security when two men were this morning charged with treason."
ID_BXYZVM,"From London, BBC Caribbean Report."
ID_JRZZQN,"And I think that it makes very good sense that if we could put aside half of that revenue, one point five billion dollars is ten percent of the national budget."
ID_GOTWTQ,"From London, BBC Caribbean Report."
ID_LGFDXU,I'm Oren Gordon and this is BBC Caribbean Report.
ID_DHTKPI,A leading Caribbean AIDS researcher hails this week's AIDS vaccine trials as outstanding.
ID_FBOURZ,"could slip, and slip significantly."
ID_SKVWDY,It's a very selfish narrow act by a very selfish narrow cricketer.
ID_DERYCY,Caribbean travel agents have been told that they cannot expect government intervention in their ticket war with American Airlines and British Airways.
ID_ZHUVWL,And the Caribbean warned that the international financial crisis could hit home.
ID_NOWEHH,"If I were satisfied, if I were convinced that it was for the sake of bringing the opposition in and giving them a say in government, I would have applauded it."
ID_XGMDTM,A lot of that has to do with a level of understanding and awareness of what is possible and also what is necessary.
ID_QTLZOT,Gary Pierre-Pierre is the editor of the expatriate newspaper The Haitian Times.
ID_NWGAQD,They lost a legal battle with financial regulators in St.
ID_XTIJBP,But the Maurice Bishop patriotic movement calls the decision revolting.
ID_QFDUZC,They feel that Mr. Pandey has gone too far in terms of inciting violence against a lot of people.
ID_YNCLTW,by people who are already Americans.
ID_CODYEU,An election petition brought by an ordinary voter in the Rousseau constituency successfully challenged Mr. Saver's qualification to be elected to the House of Assembly while holding the position of General Manager of the National Development Corporation of Dominica.
ID_BUCBUZ,government should assume responsibility for sovereignty here.
ID_SBAJCZ,"Public Utilities Minister Ralph Mirage, the brother of the Speaker Ocasio-Cortez, announcing his resignation from the Cabinet today."
ID_YOZSHJ,"June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June, June"
ID_PFONWJ,You're listening to BBC Caribbean Report.
ID_SROBIL,"If what they said sounded uncannily similar, then consider this from the Malaysian ambassador, Agan Hazmi."
ID_KGLULW,So the talks have proceeded on that basis.
ID_FDWJYY,Hurricane Gert gives Bermuda a miss.
ID_QIYPNH,"The opposition Jamaica Labour Party, which was implicated by some government officials, has denied any involvement in the matter."
ID_KZCYYB,I'm Moira Thomas and we take a look at regional penal reform in this special edition of BBC Caribbean Report.
ID_EQXOEN,Those elections were followed by widespread political and social unrest.
ID_PVMOGN,as to the future development of Dominica.
ID_DJCBVF,You can't have one calypso season without Creole being featured in a winning song or in most winning songs.
ID_KTJCBG,I'm Ken Richards and this is BBC Caribbean Report.
ID_KBBEKV,"Because this has been an undercover operation, an intelligence letting that has been carried"
ID_RWUVLA,"After twenty-one years in the wilderness, South Africa has been readmitted to the fold."
ID_ZMVPLY,just some of the criticisms made of CARICOM over its support for the use of force to remove Iraq's army from Kuwait.
ID_WDPUVY,Dominican banana farmers planning an anti-US demonstration under Taiwanese response to China's acceptance as a member of the Caribbean Development Bank.
ID_YJDSPW,"In Dominica, there appears to be growing opposition to the government's efforts to explore the island's mining potential."
ID_JYIFLQ,"For his part, the finance minister has responded to the union's clamour for a deferment of external debt payment in favour of meeting the debt to public servants by saying that a small country has no such options."
ID_YLDYZI,"But we believe that some initiative has to be taken at the level of government, the authorities of the day, in the same spirit of national reconciliation."
ID_YHQYJM,"First of all, what did you come to Britain for in particular, or are you hoping to go away with anything in particular?"
ID_DWHWEW,"I'm Oren Gordon, and this is BBC Caribbean Report."
ID_KVGCXC,We take a look at possible links between Mercosur and Caricom.
ID_EMYBIX,It reached a high point in the nineteen eighty election campaign when over eight hundred people were cut down in the intense battle for political power.
ID_DLBVPB,The statement from the Governor's Office said a full assessment of immediate needs was being prepared for the British Foreign Office and international aid donors.
ID_GTLNPP,Deportations from the US are at a record high.
ID_AVSZIG,And more legal help for the Jamaican teenage Washington sniper suspect.
ID_EAJRGV,"From London, BBC Caribbean Report."
ID_VVAYHD,"We are all aware that the Federation collapsed because it didn't have widespread public support in the sense that the public really didn't, the public of the Caribbean in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the year in the"
ID_GLIWHO,I'm Ken Richards and this is BBC Caribbean Report.
ID_WQCHOX,"If Siaga hangs tough, Pernell Charles and Ed Bartlett, former dissident members, will have to yield."
ID_BUNFSP,The Home Office declined to say why there were so many applications.
ID_FJEVSW,It seems as if every Calypsonian was there.
ID_IXNXFU,"They would say only that the move was in connection with an ongoing investigation, explaining that there was need to preserve the integrity and confidentiality of the probe."
ID_ABKBOC,"The situation in Haiti is one of deep polarization, widespread fear, in some places terror, pervasive uncertainty, seething anger, great confusion, but nonetheless one of challenge and hope."
ID_YULKBL,"Frank Rampersad has made a contribution of incomparable worth, which I know"
ID_AHRONV,And why Ian Botham won't be touring in the West Indies.
ID_LLZWBK,Time for senseless talk.
ID_HLVOYY,A united opposition in Trinidad threatens the ruling PNM's hold on power.
ID_ASIXTM,So perhaps it's a little bit early to say yes or no if there is going to be radical reform.
ID_MQEHEW,But why would the president want to exclude all political parties from the government?
ID_MNCJUU,There must be some implications in the decision that President Preval has taken.
ID_WJDGAC,Seismic official says there's no cause for panic following an earthquake felt in some regional states.
ID_ZRMEQK,The British government has issued an advisory asking travelers to the island to consider postponing non-essential visits until the situation settles.
ID_OBBZLE,"Meantime, the other member of the opposition in the House, Ruben Meade, said he thought the government would have discussed the matter with all elected parliamentarians"
ID_CSFRDK,"From London, BBC Caribbean Report."
ID_PPWAKU,"electoral process presently, the boy would have been sent home a long time ago."
ID_SSRFDO,His advisors have written that the CBI is a flawed document.
ID_CQBPQX,Aruba is off the OECD list of harmful tax havens.
ID_NGGWMM,"Vincent and the Grenadines Prime Minister Ralph Gonzales said that sophistication is expressed through criminal deportees, a ruthless and ruthless ban as he called them, a reference to the fact that many of them have been forcibly sent back to the region they know little of after a lifetime of crime in societies they know best, mostly in the United States."
ID_MBZUDV,"You're saying you're working towards the elections taking place as scheduled on the nineteenth of March, but is that the same thing as being absolutely confident, given the circumstances, that it will, it can take place on that date?"
ID_PZMKEJ,"But Prime Minister Douglas, these leaders themselves are bogged down by domestic issues and heavy schedules."
ID_YFCWSL,Professor William Gray in more news about Lenny.
ID_LGSIQQ,"If one views this as a hundred mile race, one could say that we've come ninety-five miles."
ID_IEPAXA,"Michael, you heard Ambassador Casimir."
ID_FFIJFT,"It almost smacks, quite frankly, of colonialism for cable and wireless to be still dominating our communications in this region."
ID_SJQRCB,A compromise in the offing between government and opposition over Guyana's controversial voters list.
ID_QCXMVF,"President and CARICOM heads will be two draft documents, one known as the Bridgetown Declaration and the other the Plan of Action."
ID_VHPDLS,of the financial implications of the mandates that we receive and of the work that we are asked to carry out.
ID_JXSCDA,They say he tried to obtain weapons and recruit Cubans.
ID_MCLPZH,"First, I asked Sol LeFroyd what did the Privy Council base its ruling on."
ID_QKZNYC,"We have, I think, only..."
ID_HQMOIG,"The voters, the way they vote will determine that."
ID_FPSDQB,on ways and means to solve the crisis that opened with the institutional vacuum.
ID_UGWLYP,"The fate of the Grenada Fourteen now rests on the shoulders of one woman, and she's looking to the Lord for guidance."
ID_YNBMOM,"From London, BBC Caribbean Report."
ID_VIVSWA,Montserrat's volcano continues to pose dangers.
ID_ATKTXC,Another potential political confrontation in Guyana over the sale of the power company.
ID_TGSROV,Britain's House of Commons to hold hearings on the government's handling of the crisis in Montserrat.
ID_KMEDVZ,"That's a question I put to Kim Elliot, a research fellow at the International Institute of Economics."
ID_XIONKX,"How the music has evolved, you know, into kind of a digital form, you can see that kind of start taking shape into, you know, the big tracks we had about a year or two ago was the Beanie Man, Who Am I?"
ID_AMAWUS,Both have come up for behind-the-scenes discussions at this week's EUACP conference in the Bahamas.
ID_KDVWNQ,The Cuban government says that Canadian mining firm Sheret International is one of its most important investors.
ID_WMTLJE,"At the end of last year, President Joaquim Balaguer said his government was negotiating an agreement with the fund."
ID_JQZGEJ,I appeal then to member states to use whatever is in their power
ID_JGAEMT,Bibi puts a figure on its losses and calls for government support.
ID_AQSRLM,"I'm not going to say that, because that is something which the people will have to decide."
ID_QQNWBO,"The main teachers union, the Jamaica Teachers Association, says the government is to blame."
ID_SQABSF,Lucia would do is to get the report endorsed in this session of the Parliament.
ID_WFTHNH,They said the shutdown is temporary and they're to reopen after financial restructuring.
ID_JVUCHJ,It speaks rather vaguely of helping the ACP countries to attract more investment.
ID_QYJPTN,"Among them, forming a government as broadly based as possible,"
ID_ITLEDN,"Asked Mr. Pandey to respond to concerns that triple bypass surgery six years ago, coupled with this latest operation, could mean that his health remains in jeopardy."
ID_UACWUX,"Today, Dr. Barry Ramsaran, the chief scrutineer of the party which won the election, the People's Progressive Party, told BBC Caribbean Report that the evidence examined by the team was always available to everyone."
ID_NXUBUG,"He's with us in our London studio, having just flown in from Hungary, where he witnessed the historic elections."
ID_RUFRPD,I'm Hugh Crosskill and this is BBC Caribbean Report.
ID_DDLJIZ,"We have been satisfied in actual fact for a couple of months that OECD, in particular one of their committees, was aware of the high standards that Bermuda have of the regulatory structure, and we have, in fact, put into place those other initiatives that we did not have because Bermuda, as a leading light in the financial services industry, wants to be a part of the global economy, a part of the global players, and we certainly want to do our part"
ID_SSUVFA,conservative elements of the Cuban-American community who are using him as a kind of political wedge against Castro rather than being particularly concerned about the welfare of the child.
ID_OPZAHB,The leaders have been at it all day talking about all kinds of things.
ID_GRWZEW,"about, quote, possible acquisition, business combination, joint venture, or other strategic transaction."
ID_QNNLUJ,"Vic Marks of the London Observer thought he developed into a great coach and felt that more than any of the other outstanding players of his time,"
ID_MLHFZO,Incumbent President Joaquin Balaguer is not running as part of a deal reached after international observers said his re-election in nineteen ninety four was marked by fraud.
ID_WIBXQS,"They were very timely, and they accurately reflected the sentiment throughout the Caribbean rum industry and the position of Caribbean states."
ID_BXAUUO,Federal and local agents search three Arab-owned supermarkets in the U.S.
ID_XCUTEX,Do you not support the principle that children should be first with their parents and then with their closest blood relatives?
ID_KTTYTG,It's a swap of guns for butter about to begin.
ID_YQSDWD,And the WPA says it supports nonviolent solutions to the country's woes.
ID_WIZSWG,"Dominique's Prime Minister, Rosie Douglas, told Ken Richards he's looking forward to those discussions."
ID_ZSJQYA,"From London, BBC Caribbean Report."
ID_REMHJC,"Almost all the little stores are closed, and most of the public transportation is stopped."
ID_OMAAGY,"by stepping up banana production and exports, the ACP Secretary-General and Dominique's ambassador to Brussels this morning met with the Republic's European representative."
ID_GGJGYL,"Earlier, federal authorities arrested two more individuals from the target range for a total of eight apprehended since the raid on the encampments last Thursday."
ID_WBERVQ,I'm Ken Richards and this is BBC Caribbean Report.
ID_FEDWKK,I recommend the government of San Martin to keep the Asian people.
ID_XBLBHF,Rival gangs begin peace talks in Kingston.
ID_XCCSPY,We are very encouraged by President Hoyt's statements.
ID_SIFTWN,American lawyer blames cruise company for phantom crew deaths.
ID_VCLRUU,The opposition People's National Congress in Guyana said today that they were concerned about the sabre-rattling from Venezuela's new government.
ID_NJCHUH,"Addressing the local Chamber of Commerce today, Mr. Sandiford cautioned that Barbados was not prepared to keep its markets open when policies inimical to its trading interests are in place elsewhere in the region."
ID_HXZBCK,"So that I think those who deal in drugs, drug traffickers, know that the Caribbean countries can't effectively police these very vast Caribbean waters."
ID_WVRDXK,"If we're unable to deliver, then like everything else, failure leads to defeat."
ID_CCDZDN,The foreign sales corporation scheme involves the use of tax havens in the Caribbean and elsewhere.
ID_DFMETT,Haiti's provisional government issues a warrant for President Aristide's arrest.
ID_GCKNWO,"Now, press reports are quoting a Washington-based elections monitoring group, the International Foundation for Electoral Systems, saying that elections may be better off postponed."
ID_OYVVSW,United Nations Envoy Dante Caputo will be hoping that this visit will put back on track a plan for the restoration of democracy to Haiti.
ID_CWLUEZ,"It's unfortunate now that there seems to be a retrograde step, which quite frankly I find quite outrageous."
ID_BXCDFQ,I'm Leslie Goff and this is BBC Caribbean Report.
ID_EYJDCG,"I think we're probably going to have one of the Caribbean's famous fudged compromises in which maybe the, certainly Jamaica, Trinidad, Barbados will probably go ahead with the January first, and then there will be some phase in of the OECS territories."
ID_MZOXYC,"and the Prime Minister's brother, Weber Jr., the Buftons are at Willoughby Bay, where the accommodation is an improvement on Guyana Island."
ID_GHLUSO,A leading human rights campaigner says the Suriname government is powerless to maintain control over the army.
ID_AFOCLU,"It is now or never, unquote."
ID_KBGISR,"You know that we have set up a joint commission with the three countries, and there has been an ongoing negotiation now for over two years."
ID_VCNRIN,"But then, David, of course, unless things like the common external tariff and the common rules of origin, all these instruments that are essential to regional growth are in place, even this new development of a Latin America, Caribbean free trade area could pass a region by."
ID_HIRZWS,"In nineteen ninety-seven, a petition for clemency to the prerogative board of mercy was also rejected."
ID_BBRINV,He has set about four preconditions before he even considers meeting me.
ID_RZLDTF,Trinidad and Tobago's Prime Minister dashes CARICOM hopes of oil on concessionary terms and Latin American political parties are optimistic about the prospects for democracy in Haiti.
ID_OSBFHK,The Commission resigned in response to the indictment made by the five independent experts appointed by the European Parliament.
ID_CVLQBE,While Trinidad's opposition leader says he has no evidence to back claims of an al-Qaeda link in the country.
ID_RRGFKS,"From London, this is BBC Caribbean Report."
ID_FKTCHB,"But Sir John told the BBC, quote, We are proceeding on the assumption that there will be no other candidate, end of quote, a clear indication that the party may expect Dr. Lewis to back off."
ID_JLWHSS,We're not very happy and the workers are not very happy
ID_UXMZEW,"From London, this is BBC Caribbean Report."
ID_RBCTYL,"From London, BBC Caribbean Report."
ID_CIANUI,Montserratians awaiting word from the scientists about ending a month-long evacuation prompted by the volcano there.
ID_IBWQPZ,"And for the first time in a long while, there seemed to be the feasibility of having that kind of world order"
ID_PNHLVT,"If there is no justice, if there is no security, there cannot be any kind of election."
ID_GITVMD,Patterson to become party leader and prime minister.
ID_UTWYOX,We must admit that we played so badly in Barbados.
ID_DQPUSM,"The venue was the London School of Economics, where he had been a student in the late nineteen forties."
ID_BBUNQN,"Well, we were told that our security was guaranteed."
ID_XYFBIR,"Cancellations have been directly attributed to the old year's day attack, and Director of Tourism Hilary Modest says the tourist board is bracing for more possible fallout."
ID_CVWKDB,Grenada still ships its nutmegs whole grain in bags.
ID_MVJCRZ,"Well, shortly we'll hear from Jamaica's ambassador to Washington, Richard Bernal, who was at the Santiago meeting."
ID_NJSRMY,That's the focus of this January third edition of BBC Caribbean Report.
ID_KLFMCT,I'm Ken Richards and this is BBC Caribbean Report.
ID_POBMDS,Coast Guard has brought back around two hundred bodies.
ID_JGSZVO,"wanted persons might be hidden, and or arms and ammunition."
ID_PYQWRZ,But the way to solve the problems of xenophobia that are evidencing themselves in Europe
ID_MNPEWO,"And with hopes fading for any tangible outcome from the Rio Earth Summit, one Caribbean government says there's life beyond Rio."
ID_HHDOVC,Jamaican minister dismisses suggestions of political motives behind the Tivoli Gardens operation and tracking the descendants of the Buffalo Soldiers.
ID_UPIORX,"In a moment, you'll be hearing from his son and current Prime Minister Lester Byrd, opposition politician Tim Hector, and later joining us live in the studio will be Ron Sanders and Tegan Barbier's High Commissioner to London."
ID_PAHMBS,They have been coming out to our rallies over the last three months.
ID_MYFWLS,"From London, BBC Caribbean Report."
ID_RQIUCU,shops schools and roads reopen in the jamaican capital kingston today a sign that life was returning to normal after three days of violent street demonstrations air canada has announced that it will resume flights to the island and while other carriers such as british airways cancelled flights over the last few days air jamaica continued its operations the street protests come some of which turned violent followed a government decision to increase the price of petrol
ID_KWGKIH,In a moment we'll hear from one pressure group which disagrees that the police are in fact in control of the situation.
ID_DIPMAM,"What will happen then tomorrow, in your opinion?"
ID_AWTJEZ,"Earlier, I spoke to Jamaican journalist Earl Moxham and began by asking him if he thought the committee had been given sufficient time."
ID_ZCNLVJ,companies under license to the Walt Disney Company.
ID_NEJIYH,The Bahamas hangs the condemned murderer David Mitchell.
ID_LPLFFK,Lucia are reporting a fifty percent drop between nineteen ninety two and nineteen ninety seven.
ID_HNPMJR,"Australia will be going to the Commonwealth Summit in Durban this weekend, and they'll be sitting down with small Caribbean countries like Dominica and Trinidad and Tobago that have had the self-confidence to say, we don't want the monarchy representing us any longer."
ID_ZJUMWY,"From London, BBC Caribbean Report."
ID_DJVWYX,Franklin Michael is the outgoing permanent secretary in the emergency department.
ID_SFWMIK,The United Nations Security Council has voted to extend the mandate of the UN police force in Haiti.
ID_GOCPAF,Between two and three containers are sent weekly.
ID_JGWUOF,found Mr. Green guilty of attacking the PNC leader in public after the party lost the October five general election.
ID_KOCDYW,"And because that law, that electoral law was unconstitutional, it invalidated the election."
ID_LYHATT,The building has collapsed.
ID_AURTAF,More on the banana trade war from Ken Richards.
ID_PMKDEJ,"There seems, however, hardly any spirit among the parties concerned to meet at the negotiating table."
ID_LCKKXF,"In St Lucia, the commission of inquiry into the so-called UN fund scandal holds its first sitting."
ID_YUAWOJ,But clearly we've not been able to find a partner that understands that you need to be able to have relationships with other international carriers.
ID_VDUWUB,I'm Ken Richards and this is BBC Caribbean Report.
ID_XATHWU,"By all accounts, Bahamians voted very early today."
ID_DOORUJ,"In this case, police say that he may be facing more than just one count of arson."
ID_ZYHHWG,Vincent goes further than just free movement.
ID_XTQRNJ,What wouldn't regional leaders have given for a major policy speech from the U.S.
ID_YRGDVT,"From London, BBC Caribbean Report."
ID_NYCFNY,Pete Ninval has this report from Castries.
ID_CHHSLE,A US congressman defends his controversial bill aimed at tightening the economic embargo against Cuba.
ID_LPFKCF,"When the issue is pertinent, when the people feel it, they turn out."
ID_XIKXDR,I'm Oren Gordon and this is BBC Caribbean Report.
ID_YZVHKJ,"From London, BBC Caribbean Report."
ID_SADWWX,I'm Debbie Ransom and this is BBC Caribbean Report.
ID_SUYRAD,Europe lists its retaliatory measures against the U.S.
ID_RMIXDP,He told the Caribbean report it would be time-consuming and won't solve the immediate problems of Montserratians.
ID_YRKIQB,"We feel, as I think all well-thinking civilised people feel, that the right to life is the most fundamental right."
ID_TVFOPG,Kitts and Nevis Deputy Prime Minister Sam Condor is chairman of a parliamentary committee on constitutional reform.
ID_ZTSUVL,"In Barbados, two hundred and fifty people were found to be HIV positive, in Jamaica, two hundred and thirty-five and in Bermuda, a hundred and ninety-one."
ID_RQIHIL,"The Cuban economy comes under the spotlight at a meeting of Caribbean experts in Havana, and the Barbados Minister for Air Transport urges CARICOM governments not to sign the multilateral agreement with Britain."
ID_RODZAD,and could renew this for another twenty years after.
ID_OOAOFX,"I asked CARICOM's special envoy to Haiti, Vincentian Prime Minister James Mitchell, whether Port-au-Prince was now expecting additional help because it's been accepted into the regional grouping."
ID_DZPGEO,"I would say he obtained anabolics for us, and he did not make a profit off it."
ID_OHOWMR,One territory is arguing for seats at Westminster rather than talking to London through governors appointed by the Foreign Office.
ID_XIJCOG,"The Secretary General of the Caribbean Broadcasting Union, Terry Holder, is to leave his post in October."
ID_GKLSDJ,"You see, a lot of the markets, supermarkets and all the groceries, don't push local goods."
ID_VVIKUK,Dr. Richmond told me the appeal for these officers to vote with the general public next Monday now seems to have succeeded.
ID_TEQPOF,"They're not new, having been batted back and forth for more than a year and a half between the UNC and the People's National Movement, which is now in government."
ID_ATJHID,"But little more was achieved in Bonn, apart from agreement on the need to intensify negotiations and reach a deal on how emissions should be measured."
ID_JDPZLF,I'm Moira Thomas and this is BBC Caribbean Report.
ID_ZBASFF,Can the Caribbean take encouragement from this?
ID_ONKOFI,Which brings me to my final question that I'd like to put to both of you.
ID_FNBLPE,"Yes, well, first of all, let me say that we are not aware of any official decision to pull out troops from Belize on the part of the British government."
ID_MYEDZJ,Professor Hamad Ghods is one of the members of the United Nations team who carried out the research.
ID_QASHQL,"I would not make that, dramatize that too much."
ID_WRFUWV,"As you know, UNCTAD is a knowledge-based organization, and it can help us in doing an impact assessment and review of the World Trade Organization agreements."
ID_LSHWGT,"Anguilla's opposition leader, Osborne Fleming."
ID_BGJVWO,Mr. Hughes' donkfall is his own making.
ID_WUCDSF,Lucia's Deputy Prime Minister seeks redress at the British Department of Transport.
ID_NWLVEK,"This morning in court, trial judge Adrian Saunders was prepared to try the matter."
ID_JHRBMX,Doesn't the Antiguan action scare off potential clients of the offshore sector who may be after a higher level of privacy?
ID_OQBAWY,Is the current government in Grenada constitutional?
ID_WLDBBD,What specifically are you hoping for to come out of this meeting?
ID_VPLKJG,Is it we want you back or stay away?
ID_PGPBDO,"For those who are not mathematically minded, it's gone up plenty."
ID_XIZTPZ,"Its president, Andrew Quinlan, told me that the next battlefront with the OECD will be on the issue of the exchange of financial information."
ID_SSTNVM,So we are in a situation where we really do not know what can happen.
ID_FHGGJJ,There must be a regional debate in the communities right through the next cricket season.
ID_YMLHAU,Testing for AIDS and HIV in Trinidad looks set to rocket.
ID_JUIESO,"Speaking on the final day of the CARICOM summit in Nassau, the Bahamas, he said Mexico was aiming to expand its technical and scientific cooperation with the region."
ID_HFQZTJ,Their stand along with that of South African Airways has deepened controversy over a move Washington sees as essential to prevent terrorist attacks.
ID_ACTSNF,"The coroner, Winston Saunders, had asked Wilchcombe to tell him how he came by the note."
ID_TAVZUW,what may be exercises until August tenth.
ID_DPGISE,"Well, you know, various record checks, trying to verify..."
ID_FBYZGR,"In what's seen as a close election race, the public opinion polls have favoured the incumbent UWP holding on to power."
ID_DZMSCE,"I mean, I know them to be an international organization and most operating in most countries of the world, including the United States, where I know they own a major paper in Washington."
ID_TXBBHN,is now coming under heavy criticism for the manner in which he is handling the formation talks.
ID_WSVSOC,"The thing that we can get our finances in a better order and therefore be able to do more things, knowing that we have the money to do them."
ID_XBAVZX,Non-gas reserves stretch into the next twenty-five years and new finds are constantly being made.
ID_DBEPNG,And should health workers in the Caribbean be tested for AIDS?
ID_NTERAK,A trade war between the US and Europe could be disastrous for the Caribbean.
ID_UKCGYU,So we are in the eye wall and at the moment we are getting wind gusts in excess of a hundred miles an hour.
ID_KVHARN,"They're to get a five percent pay rise this year and the next, and they'll also get new houses built for them."
ID_KBSCVP,"From Durban, the BBC's diplomatic correspondent, James Robbins."
ID_RAYREK,"It may be seen as a way of appeasing, of showing the Haitian people, hey, we're sort of"
ID_JDVMKQ,We have already started to put in
ID_DSESQH,"But with the two Tobago senators joining the opposition and independent senators in voting against the motion for adjournment, the government lost and had to continue with the setting."
ID_DRVFWK,Senator Chester Humphrey has tabled a motion in the Upper House of Parliament urging the U.S.
ID_HEYXCY,Caricom unhappy with the Navy's vote to secede.
ID_SZFSMG,I put it to Minister Bash if this means that the airline agents will simply have to learn to live with the six percent and should not count on government's direct intervention on their behalf.
ID_CNXYZL,"The basic advice, however, remains, eliminate the breeding grounds of the Culexa mosquito, which carries the West Nile virus."
ID_UYGZBD,We have this report from Tony Fraser in Port of Spain.
ID_UFVORV,The statement comes after the government in part of Spain recently restarted hanging those who had been convicted of murder
ID_LZCPKH,What Hurricane Jose did was to tear the branches from trees and there's lots of shrubbery and bush and branches of trees scattered all over the place.
ID_DNGJBM,"Tuesday morning, presidential front-runner, the Reverend Jean-Bertrand Aristide, boarded the six-passenger executive jet of Venezuelan President Carlos Andres Perez"
ID_KDZONH,"As we hear in this report from Hugh Crosskill, a lack of political will on the part of European politicians seems set to crush Caribbean hopes for continued preferential treatment."
ID_HBFVHX,way in which they have been graded and classified under the Civil Service Act does not fairly or accurately reflect the responsibilities that they are required to carry or the level of training that they're required to have in carrying out their duties.
ID_MBUQHM,"had its way, the proceedings would also be open to the public."
ID_HKYMGO,"law enforcement officials in Waco, Texas."
ID_YBHAYP,OECS manufacturers headed for disagreement with their Caricom colleagues on the CET.
ID_HWHTQY,I'm Oren Gordon and this is BBC Caribbean Report.
ID_KCZIBD,"It was later reported she died of pneumonia, but her family remained skeptical, saying her illness and her death"
ID_LFQYBQ,that the payment of the debt is not something that we want as a one-shot payment that will impose too heavy a burden on the government.
ID_SVNZKZ,Caribbean cocaine trafficking is way up according to the latest UN figures.
ID_GIXLYO,So what exactly will be the SLBC's relationship with Wibdeco?
ID_RJSPXJ,"from London, BBC Caribbean report."
ID_SGIFGL,The two-day ACS preparatory meeting will consider a draft regional cooperation pact for the prevention and mitigation of natural disasters.
ID_PJMQAM,A new route for Caribbean illegal immigrants sneaking into the US.
ID_YZMUZD,"James, how seriously are Montserratians taking the elections?"
ID_RWIJTO,Cuba's Communist Party votes to keep the one-party state into the twenty-first century.
ID_KTHIHP,"And like other banana developments of the past, it is leaving some confusion within the ranks of banana-producing nations of the Caribbean."
ID_TEKSJE,The amount represents an increase of thirty five percent over last year.
ID_AGDFIA,I'm Ken Richards and this is BBC Caribbean Report.
ID_ZPQFDA,I'm just resting and trying to get myself together and then I'll make a decision within the next couple of months or so.
ID_IMDRGM,"Well, they moan, and they puff, and they say we want, we pep, and they buse, and they cuss, and they say this is a trip."
ID_ZMLRIQ,"Donna, things are really getting tight in Group B?"
ID_ZVGRYH,Debt cancellation for third world countries dismissed as a non-practical option.
ID_ZXQZTM,I asked journalist Michael Norton what has been the overall reaction to President Preval's decision.
ID_VGUGQI,A senior official at the CARICOM Secretariat has lashed out at the region's private sector for supporting extra-regional goods at the expense of CARICOM products.
ID_MSUVNM,I'm Moya Thomas and this is BBC Caribbean Report.
ID_QNEDKF,Top executives of the island-hopping airline Liat are still considering a report by an independent consultancy firm
ID_FBGKNJ,to express a bit of concern at the fact that the Queen's representative was speaking in Creole.
ID_QMMPEN,I'm Oren Gordon and this is BBC Caribbean Report.
ID_ZRNKXB,"And I suspect that he's going to be rather more aggressive in promoting the Commonwealth than was his predecessor, Chief Emeka Anyoku."
ID_IXGDBH,What I know is that both the Freedom Party and the Labour Party were advised by the electoral office that they were well within time in submitting the letters of withdrawal of their respective candidates.
ID_FMXQLD,And a preliminary investigation cites evidence of corruption in a previous administration in Dominica.
ID_CNXZOX,"He talked about the historical, cultural links between Cuba and the Dominican Republic."
ID_DGWYPI,"We find ourselves on the brink of the twenty-first century with our perspectives, our policies and our plans seemingly tethered, if not securely anchored, in the century that is shutting down around us."
ID_BVFAZR,"The anti-government demonstrations have been spreading in the Surinamese capital, Paramaribo."
